"date"	"time"	"long"	"lat"	"mag"
"2013-05-16"	"15:41:57.80"	"57.9380"	"26.8160"	"3.3"
"2013-05-16"	"16:19:12.40"	"57.9950"	"26.7460"	"3.8"
"2013-05-16"	"17:16:08.20"	"57.9540"	"26.7490"	"3.3"
"2013-05-16"	"17:38:18.20"	"58.0740"	"26.8190"	"3.8"
"2013-05-16"	"20:39:52.50"	"57.9450"	"26.7700"	"3.2"
"2013-05-16"	"21:08:43.70"	"57.8670"	"26.7250"	"4.0"
"2013-05-16"	"23:01:25.80"	"57.9370"	"26.7590"	"3.3"
"2013-05-17"	"01:38:28.30"	"57.7940"	"26.6770"	"4.2"
"2013-05-17"	"03:08:51.20"	"57.5500"	"26.6280"	"3.2"
"2013-05-17"	"04:30:17.80"	"57.6390"	"26.6890"	"3.3"
"2013-05-17"	"07:19:19.00"	"57.5130"	"26.6230"	"3.2"
"2013-05-17"	"12:10:38.70"	"57.6460"	"26.5760"	"4.0"
"2013-05-17"	"14:45:21.90"	"57.6010"	"26.6160"	"4.8"
"2013-05-17"	"14:58:34.80"	"57.8010"	"26.6390"	"3.8"
"2013-05-17"	"16:19:30.90"	"57.5910"	"26.6270"	"4.0"
"2013-05-18"	"10:03:16.00"	"57.8420"	"26.6920"	"5.5"
"2013-05-18"	"10:57:00.49"	"57.8110"	"26.7020"	"5.6"
"2013-05-18"	"12:09:42.40"	"57.8850"	"26.7360"	"4.7"
"2013-05-18"	"12:26:00.55"	"57.8100"	"26.7670"	"3.8"
"2013-05-18"	"13:43:08.50"	"57.8600"	"26.7510"	"3.8"
"2013-05-18"	"13:45:03.80"	"57.9220"	"26.7480"	"3.8"
"2013-05-18"	"13:53:48.30"	"57.8250"	"26.7910"	"3.5"
"2013-05-18"	"15:10:00.41"	"57.7910"	"26.7340"	"4.3"
"2013-05-18"	"15:56:16.00"	"57.7550"	"26.7250"	"3.8"
"2013-05-18"	"16:52:17.00"	"57.9450"	"26.7760"	"3.8"
"2013-05-18"	"19:53:46.70"	"57.7930"	"26.7720"	"3.5"
"2013-05-18"	"21:55:18.00"	"57.7270"	"26.9490"	"3.4"
"2013-05-18"	"23:32:16.30"	"57.8960"	"26.7730"	"3.7"
"2013-05-19"	"01:43:05.50"	"57.2790"	"27.9030"	"3.0"
"2013-05-19"	"04:30:35.10"	"57.9690"	"26.6120"	"4.0"
"2013-05-19"	"05:41:14.20"	"57.9210"	"26.6920"	"3.9"
"2013-05-19"	"10:06:44.30"	"57.9270"	"26.8160"	"3.9"
"2013-05-19"	"14:03:15.50"	"57.9780"	"26.7150"	"4.2"
"2013-05-19"	"14:39:22.50"	"58.0150"	"26.7850"	"3.8"
"2013-05-19"	"16:50:16.40"	"57.9140"	"26.7210"	"3.9"
"2013-05-19"	"19:03:15.70"	"58.0360"	"26.7700"	"3.6"
"2013-05-19"	"19:27:07.00"	"58.1080"	"26.7570"	"3.8"
"2013-05-19"	"22:25:29.30"	"57.9150"	"26.8290"	"3.8"
"2013-05-20"	"01:57:40.50"	"57.9860"	"26.6750"	"3.8"
"2013-05-20"	"04:33:33.50"	"57.8540"	"26.7460"	"3.8"
"2013-05-20"	"07:02:28.00"	"57.7620"	"26.7170"	"4.8"
"2013-05-20"	"09:16:27.80"	"57.7280"	"26.7790"	"4.9"
